;date;total_bill;tip;sex;smoker;size
84;05-03-2023;17.47;3.5;Female;No;2.0
85;05-03-2023;17.46;2.54;Male;No;2.0
86;05-03-2023;28.44;2.56;Male;Yes;2.0
87;05-03-2023;15.69;3.0;Male;Yes;3.0
88;05-03-2023;12.76;2.23;Female;Yes;2.0
89;05-03-2023;35.83;4.67;Female;No;3.0
90;05-03-2023;32.9;3.11;Male;Yes;2.0
91;05-03-2023;34.63;3.55;Male;Yes;2.0
92;05-03-2023;11.87;1.63;Female;No;2.0
93;05-03-2023;23.95;2.55;Male;No;2.0
94;05-03-2023;7.74;1.44;Male;Yes;2.0
95;05-03-2023;28.55;2.05;Male;No;3.0
96;05-03-2023;13.81;2.0;Male;No;2.0
97;05-03-2023;23.1;4.0;Male;Yes;3.0
98;05-03-2023;27.05;5.0;Female;No;6.0
99;05-03-2023;13.27;2.5;Female;Yes;2.0
100;05-03-2023;8.77;2.0;Male;No;2.0
101;05-03-2023;24.08;2.92;Female;No;4.0
102;05-03-2023;23.33;5.65;Male;Yes;2.0
103;05-03-2023;10.34;1.66;Male;No;3.0
104;05-03-2023;11.02;1.98;Male;Yes;2.0
105;05-03-2023;20.49;4.06;Male;Yes;2.0
106;05-03-2023;13.37;2.0;Male;No;2.0
107;05-03-2023;24.59;3.61;Female;No;4.0
108;05-03-2023;20.76;2.24;Male;No;2.0
109;05-03-2023;10.09;2.0;Female;Yes;2.0
110;05-03-2023;23.68;3.31;Male;No;2.0
111;05-03-2023;38.73;3.0;Male;Yes;4.0
112;05-03-2023;18.71;4.0;Male;Yes;3.0
113;05-03-2023;8.35;1.5;Female;No;2.0
114;05-03-2023;38.01;3.0;Male;Yes;4.0
115;05-03-2023;25.28;5.0;Female;Yes;2.0
116;05-03-2023;20.69;2.45;Female;No;4.0
117;05-03-2023;19.77;2.0;Male;No;4.0
118;05-03-2023;14.73;2.2;Female;No;2.0
119;05-03-2023;22.82;2.18;Male;No;3.0
120;05-03-2023;16.49;2.0;Male;No;4.0
121;05-03-2023;14.0;3.0;Male;No;2.0
122;05-03-2023;25.56;4.34;Male;No;4.0
123;05-04-2023;11.38;2.0;Female;No;2.0
124;05-04-2023;7.25;1.0;Female;No;1.0
125;05-04-2023;16.29;3.71;Male;No;3.0
126;05-04-2023;13.39;2.61;Female;No;2,0
127;05-04-2023;34.83;5.17;Female;No;4.0
128;05-04-2023;19.65;3.0;Female;No;2.0
129;05-04-2023;11.69;2.31;Male;No;2.0
130;05-04-2023;21.58;3.92;Male;No;2.0
131;05-04-2023;13.42;1.58;Male;Yes;2.0
132;05-04-2023;34.65;3.68;Male;Yes;4.0
133;05-04-2023;13.28;2.72;Male;No;2.0
134;05-04-2023;44.3;2.5;Female;Yes;3.0
135;05-04-2023;25.29;4.71;Male;No;4.0
136;05-04-2023;20.23;2.01;Male;No;2.0
137;05-04-2023;13.13;2.0;Male;No;2.0
138;05-04-2023;12.43;1.8;Female;No;2.0
139;05-04-2023;20.53;4.0;Male;Yes;4.0
140;05-04-2023;11.61;3.39;Male;No;2.0
141;05-04-2023;22.76;3.0;Male;No;2.0
142;05-04-2023;27.28;4.0;Male;Yes;2.0
143;05-04-2023;13.03;2.0;Male;No;2.0
144;05-04-2023;16.99;1.01;Female;No;2.0
145;05-04-2023;16.82;4.0;Male;Yes;2.0
146;05-04-2023;13.51;2.0;Male;Yes;2.0
147;05-04-2023;16.58;4.0;Male;Yes;2.0
148;05-04-2023;25.89;5.16;Male;Yes;4.0
149;05-04-2023;15.81;3.16;Male;Yes;2.0
150;05-04-2023;9.68;1.32;Male;No;2,0
151;05-04-2023;24.71;5.85;Male;No;2.0
152;05-04-2023;14.83;3.02;Female;No;2.0
153;05-04-2023;28.17;6.5;Female;Yes;3.0
154;05-04-2023;26.86;3.14;Female;Yes;2.0
155;05-04-2023;21.01;3.0;Male;Yes;2.0
156;05-04-2023;22.23;5.0;Male;No;2.0
157;05-04-2023;19.81;4.19;Female;Yes;2.0
158;05-04-2023;14.31;4.0;Female;Yes;2.0
159;05-04-2023;18.26;3.25;Female;No;2.0
160;05-04-2023;32.68;5.0;Male;Yes;2,0
161;05-04-2023;10.65;1.5;Female;No;2.0
162;05-04-2023;17.29;2.71;Male;No;2.0
163;05-04-2023;8.51;1.25;Female;No;2.0
164;05-05-2023;14.78;3.23;Male;No;2.0
165;05-05-2023;18.69;2.31;Male;No;3.0
166;05-05-2023;17.07;3.0;Female;No;3.0
167;05-05-2023;28.15;3.0;Male;Yes;5.0
168;05-05-2023;15.53;3.0;Male;Yes;2.0
169;05-05-2023;16.21;2.0;Female;No;3.0
170;05-05-2023;10.77;1.47;Male;No;2.0
171;05-05-2023;18.35;2.5;Male;No;4.0
172;05-05-2023;15.77;2.23;Female;No;2.0
173;05-05-2023;32.83;1.17;Male;Yes;2.0
174;05-05-2023;15.06;3.0;Female;No;2.0
175;05-05-2023;27.2;4.0;Male;No;4.0
176;05-05-2023;15.04;1.96;Male;No;2.0
177;05-05-2023;14.48;2.0;Male;Yes;2.0
178;05-05-2023;25.0;3.75;Female;No;4.0
179;05-05-2023;43.11;5.0;Female;Yes;4.0
180;05-05-2023;17.78;3.27;Male;No;2.0
181;05-05-2023;19.08;1.5;Male;No;2.0
182;05-05-2023;16.43;2.3;Female;No;2.0
183;05-05-2023;10.59;1.61;Female;Yes;2.0
184;05-05-2023;32.4;6.0;Male;No;4.0
185;05-05-2023;10.33;1.67;Female;No;3.0
186;05-05-2023;13.81;2.0;Male;Yes;2.0
187;05-05-2023;11.35;2.5;Female;Yes;2.0
188;05-05-2023;17.26;2.74;Male;No;3.0
189;05-05-2023;17.92;3.08;Male;Yes;2.0
190;05-05-2023;27.18;2.0;Female;Yes;2..0
191;05-05-2023;15.98;2.03;Male;No;2.0
192;05-05-2023;12.66;2.5;Male;No;2.0
193;05-05-2023;19.82;3.18;Male;No;2,0
194;05-05-2023;22.75;3.25;Female;No;2,0
195;05-05-2023;12.69;2.0;Male;No;2.0
196;05-05-2023;12.74;2.01;Female;Yes;2.0
197;05-05-2023;31.85;3.18;Male;Yes;2.0
198;05-05-2023;24.06;3.6;Male;No;3,0
199;05-05-2023;19.44;3.0;Male;Yes;2.0
200;05-05-2023;29.85;5.14;Female;No;5.0
201;05-05-2023;10.27;1.71;Male;No;2.0
202;05-05-2023;10.34;2.0;Male;Yes;2.0
203;05-05-2023;18.15;3.5;Female;Yes;3.0
204;05-05-2023;18.78;3.0;Female;No;2.0
205;05-06-2023;9.55;1.45;Male;No;2.0
206;05-06-2023;21.01;3.5;Male;No;3.0
207;05-06-2023;16.93;3.07;Female;No;3.0
208;05-06-2023;31.27;5.0;Male;No;3.0
209;05-06-2023;13.94;3.06;Male;No;2.0
210;05-06-2023;22.67;2.0;Male;Yes;2.0
211;05-06-2023;12.02;1.97;Male;No;2.0
212;05-06-2023;20.65;3.35;Male;No;3.0
213;05-06-2023;8.52;1.48;Male;No;2.0
214;05-06-2023;12.54;2.5;Male;No;2.0
215;05-06-2023;22.42;3.48;Female;Yes;2.0
216;05-06-2023;10.29;2.6;Female;No;2.0
217;05-06-2023;13.16;2.75;Female;No;2.0
218;05-06-2023;45.35;3.5;Male;Yes;3.0
219;05-06-2023;17.81;2.34;Male;No;4.0
220;05-06-2023;50.81;10.0;Male;Yes;3.0
221;05-06-2023;30.14;3.09;Female;Yes;4.0
222;05-06-2023;12.26;2.0;Female;No;2.0
223;05-06-2023;26.88;3.12;Male;No;4.0
224;05-06-2023;26.41;1.5;Female;No;2.0
225;05-06-2023;24.55;2.0;Male;No;4.0
226;05-06-2023;21.7;4.3;Male;No;2.0
227;05-06-2023;22.49;3.5;Male;No;2.0
228;05-06-2023;25.21;4.29;Male;Yes;2.0
229;05-06-2023;13.42;1.68;Female;No;2.0
230;05-06-2023;13.0;2.0;Female;Yes;2,0
231;05-06-2023;12.48;2.52;Female;No;2,0
232;05-06-2023;7.51;2.0;Male;No;2.0
233;05-06-2023;16.4;2.5;Female;Yes;2.0
234;05-06-2023;31.71;4.5;Male;No;4.0
235;05-06-2023;14.15;2.0;Female;No;2.0
236;05-06-2023;5.75;1.0;Female;Yes;2.0
237;05-06-2023;34.3;6.7;Male;No;6.0
238;05-06-2023;12.46;1.5;Male;No;2.0
239;05-06-2023;40.17;4.73;Male;Yes;4.0
240;05-06-2023;14.26;2.5;Male;No;2.0
241;05-06-2023;15.38;3.0;Female;Yes;2.0
242;05-06-2023;24.27;2.03;Male;Yes;2.0
243;05-06-2023;16.32;4.3;Female;Yes;2.0
244;05-06-2023;20.27;2.83;Female;No;2.0
245;05-06-2023;7.25;5.15;Male;Yes;2.0
